permutation;execution_tree;approx_time;actual_time
[6 0 4 1 3 2 5];(((((lineorderXcustomer)X(supplier𝜎s_region∊['ASIA']))𝜎c_region∊['ASIA'])X(date𝜎d_year≤1997))𝜎d_year≥1992);8.605113540066549;3.0395684242248535
[0 5 6 3 4 2 1];((((lineorderXcustomer)𝜎c_region∊['ASIA'])X((date𝜎d_year≥1992)𝜎d_year≤1997))X(supplier𝜎s_region∊['ASIA']));8.591242617007563;3.036325454711914
[3 4 1 2 6 5 0];(((((lineorderX(supplier𝜎s_region∊['ASIA']))Xdate)𝜎d_year≤1997)𝜎d_year≥1992)X(customer𝜎c_region∊['ASIA']));8.579137069805629;1.5446300506591797
[2 4 1 6 0 3 5];((((((lineorderXdate)X(supplier𝜎s_region∊['ASIA']))𝜎d_year≤1997)Xcustomer)𝜎c_region∊['ASIA'])𝜎d_year≥1992);8.591415575040454;3.6234796047210693
[6 3 5 2 4 0 1];(((lineorderX((date𝜎d_year≤1997)𝜎d_year≥1992))X(customer𝜎c_region∊['ASIA']))X(supplier𝜎s_region∊['ASIA']));8.578826154351193;2.2555954456329346
[6 5 4 1 0 2 3];((((lineorderX(supplier𝜎s_region∊['ASIA']))Xcustomer)X((date𝜎d_year≤1997)𝜎d_year≥1992))𝜎c_region∊['ASIA']);8.590283324192669;1.9068267345428467
[1 4 3 0 5 6 2];((((lineorderXsupplier)𝜎s_region∊['ASIA'])X(customer𝜎c_region∊['ASIA']))X((date𝜎d_year≥1992)𝜎d_year≤1997));8.579025775558511;2.608029842376709
[2 4 0 3 1 5 6];((((((lineorderXdate)Xcustomer)𝜎c_region∊['ASIA'])X(supplier𝜎s_region∊['ASIA']))𝜎d_year≥1992)𝜎d_year≤1997);8.591461452078674;6.122400999069214
[6 5 4 2 1 0 3];((((lineorderX((date𝜎d_year≤1997)𝜎d_year≥1992))X(supplier𝜎s_region∊['ASIA']))Xcustomer)𝜎c_region∊['ASIA']);8.590346335022485;3.1938095092773438
[0 5 1 3 2 6 4];((((((lineorderXcustomer)Xsupplier)𝜎c_region∊['ASIA'])X(date𝜎d_year≥1992))𝜎d_year≤1997)𝜎s_region∊['ASIA']);8.605591113042387;7.421671628952026
[4 0 2 6 5 3 1];((((((lineorderXcustomer)Xdate)𝜎d_year≤1997)𝜎d_year≥1992)𝜎c_region∊['ASIA'])X(supplier𝜎s_region∊['ASIA']));8.605607660010815;7.491352081298828
[3 6 2 5 4 0 1];((((lineorderX(date𝜎d_year≤1997))𝜎d_year≥1992)X(customer𝜎c_region∊['ASIA']))X(supplier𝜎s_region∊['ASIA']));8.579016268470275;3.1325418949127197
[0 6 4 2 1 5 3];(((((lineorderXcustomer)X(date𝜎d_year≤1997))X(supplier𝜎s_region∊['ASIA']))𝜎d_year≥1992)𝜎c_region∊['ASIA']);8.605457748937193;5.91277003288269
[0 2 1 6 3 4 5];(((((((lineorderXcustomer)Xdate)Xsupplier)𝜎d_year≤1997)𝜎c_region∊['ASIA'])𝜎s_region∊['ASIA'])𝜎d_year≥1992);8.606742473980965;12.685035705566406
[2 0 4 1 5 3 6];((((((lineorderXdate)Xcustomer)X(supplier𝜎s_region∊['ASIA']))𝜎d_year≥1992)𝜎c_region∊['ASIA'])𝜎d_year≤1997);8.592152665984667;6.45330023765564
[2 1 4 5 0 3 6];(((((((lineorderXdate)Xsupplier)𝜎s_region∊['ASIA'])𝜎d_year≥1992)Xcustomer)𝜎c_region∊['ASIA'])𝜎d_year≤1997);8.591894047363558;7.524615526199341
[1 6 0 3 5 2 4];(((((lineorderXsupplier)Xcustomer)𝜎c_region∊['ASIA'])X((date𝜎d_year≤1997)𝜎d_year≥1992))𝜎s_region∊['ASIA']);8.591174287886629;7.103821277618408
[6 1 4 3 0 2 5];(((((lineorderXsupplier)𝜎s_region∊['ASIA'])X(customer𝜎c_region∊['ASIA']))X(date𝜎d_year≤1997))𝜎d_year≥1992);8.579167586316611;2.7080202102661133
[1 4 6 5 0 3 2];(((((lineorderXsupplier)𝜎s_region∊['ASIA'])Xcustomer)𝜎c_region∊['ASIA'])X((date𝜎d_year≤1997)𝜎d_year≥1992));8.59059384648602;3.15256929397583
[1 3 6 2 4 5 0];(((((lineorderXsupplier)X(date𝜎d_year≤1997))𝜎s_region∊['ASIA'])𝜎d_year≥1992)X(customer𝜎c_region∊['ASIA']));8.57971648570926;6.133633136749268
[2 3 5 1 0 4 6];((((((lineorderXdate)𝜎d_year≥1992)Xsupplier)X(customer𝜎c_region∊['ASIA']))𝜎s_region∊['ASIA'])𝜎d_year≤1997);8.580251659406619;7.461320638656616
[2 5 1 3 4 6 0];((((((lineorderXdate)𝜎d_year≥1992)Xsupplier)𝜎s_region∊['ASIA'])𝜎d_year≤1997)X(customer𝜎c_region∊['ASIA']));8.579932279202673;7.429082632064819
