permutation;execution_tree;approx_time;actual_time
[0 6 1 2 5 4 3];((((((lineorderXcustomer)Xsupplier)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎s_region∊['AMERICA'])𝜎c_region∊['AMERICA'])Xdate);8.662267646177801;8.383521795272827
[5 4 0 2 6 1 3];(((((lineorderX(customer𝜎c_region∊['AMERICA']))Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']))Xdate);8.726152559003951;1.2096307277679443
[1 0 4 6 5 2 3];((((((lineorderXsupplier)Xcustomer)𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate);8.647413170662468;6.501647233963013
[0 2 3 4 1 6 5];(((((((lineorderXcustomer)Xpart)Xdate)𝜎c_region∊['AMERICA'])Xsupplier)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA']);8.76554372074276;14.331590175628662
[0 6 5 1 3 4 2];(((((lineorderXcustomer)X(supplier𝜎s_region∊['AMERICA']))Xdate)𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));8.66129738074215;3.2309730052948
[3 4 6 2 0 1 5];(((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']))Xsupplier)𝜎s_region∊['AMERICA']);8.637588137019007;4.0556135177612305
[2 3 4 1 0 6 5];((((((lineorderXpart)Xdate)Xsupplier)X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA']);8.870329330729934;13.517284631729126
[0 5 3 6 2 1 4];(((((lineorderXcustomer)Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA']);8.662760689971861;7.67786169052124
[3 4 2 6 1 0 5];((((((lineorderXdate)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xsupplier)X(customer𝜎c_region∊['AMERICA']))𝜎s_region∊['AMERICA']);8.725041393640657;9.360110998153687
[2 6 5 3 0 1 4];((((((lineorderXpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate)Xcustomer)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA']);8.745254640384578;6.227529525756836
