Permutation [6 1 0 5 3 4 2] produces ((((((lineorderXsupplier)Xcustomer)𝜎s_region∊['AMERICA'])Xdate)𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 12.125043153762817 seconds.
Permutation [4 2 6 0 5 3 1] produces (((((lineorderXpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(customer𝜎c_region∊['AMERICA']))Xdate)X(supplier𝜎s_region∊['AMERICA'])) takes 5.835450172424316 seconds.
Permutation [0 6 4 3 2 1 5] produces ((((((lineorderXcustomer)𝜎c_region∊['AMERICA'])Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xsupplier)𝜎s_region∊['AMERICA']) takes 5.805915594100952 seconds.
Permutation [4 6 3 2 0 1 5] produces (((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']))Xsupplier)𝜎s_region∊['AMERICA']) takes 6.498587608337402 seconds.
Permutation [5 2 4 6 1 3 0] produces (((((lineorderXpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']))Xdate)X(customer𝜎c_region∊['AMERICA'])) takes 5.768078327178955 seconds.
Permutation [2 0 5 3 6 1 4] produces ((((((lineorderXpart)Xcustomer)Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA']) takes 23.461214542388916 seconds.
Permutation [2 5 1 3 0 6 4] produces ((((((lineorderXpart)X(supplier𝜎s_region∊['AMERICA']))Xdate)Xcustomer)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA']) takes 7.754802942276001 seconds.
Permutation [2 0 4 5 3 1 6] produces ((((((lineorderXpart)Xcustomer)𝜎c_region∊['AMERICA'])Xdate)X(supplier𝜎s_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2']) takes 13.399654626846313 seconds.
Permutation [0 1 3 4 5 6 2] produces ((((((lineorderXcustomer)Xsupplier)Xdate)𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 20.636728525161743 seconds.
Permutation [5 0 4 6 3 2 1] produces (((((lineorderXcustomer)𝜎c_region∊['AMERICA'])Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA'])) takes 5.174439907073975 seconds.
Permutation [6 1 2 0 5 4 3] produces ((((((lineorderXsupplier)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xcustomer)𝜎s_region∊['AMERICA'])𝜎c_region∊['AMERICA'])Xdate) takes 9.18170690536499 seconds.
Permutation [2 6 5 0 4 3 1] produces ((((((lineorderXpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xcustomer)𝜎c_region∊['AMERICA'])Xdate)X(supplier𝜎s_region∊['AMERICA'])) takes 7.997241735458374 seconds.
Permutation [2 5 6 4 3 1 0] produces (((((lineorderXpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate)X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA'])) takes 7.396806716918945 seconds.
Permutation [5 4 0 2 6 1 3] produces (((((lineorderX(customer𝜎c_region∊['AMERICA']))Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']))Xdate) takes 2.263806104660034 seconds.
Permutation [0 1 3 4 6 5 2] produces ((((((lineorderXcustomer)Xsupplier)Xdate)𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 20.748629331588745 seconds.
Permutation [4 5 2 0 3 6 1] produces (((((lineorderXpart)X(customer𝜎c_region∊['AMERICA']))Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA'])) takes 6.660628795623779 seconds.
Permutation [6 5 2 4 0 1 3] produces ((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']))X(supplier𝜎s_region∊['AMERICA']))Xdate) takes 2.234711170196533 seconds.
Permutation [5 4 6 3 2 1 0] produces ((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA'])) takes 5.728785991668701 seconds.
Permutation [6 3 4 0 5 1 2] produces ((((lineorderXdate)X(customer𝜎c_region∊['AMERICA']))X(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 3.731945514678955 seconds.
Permutation [2 5 3 1 0 4 6] produces ((((((lineorderXpart)Xdate)X(supplier𝜎s_region∊['AMERICA']))Xcustomer)𝜎c_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2']) takes 13.471011400222778 seconds.
Permutation [1 4 0 6 5 2 3] produces (((((lineorderXsupplier)X(customer𝜎c_region∊['AMERICA']))𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate) takes 4.737680912017822 seconds.
Permutation [6 2 4 5 3 1 0] produces ((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate)X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA'])) takes 4.0172717571258545 seconds.
Permutation [5 3 6 0 1 4 2] produces (((((lineorderXdate)Xcustomer)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 9.117995977401733 seconds.
Permutation [6 0 5 1 3 2 4] produces (((((lineorderXcustomer)X(supplier𝜎s_region∊['AMERICA']))Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎c_region∊['AMERICA']) takes 5.823922395706177 seconds.
Permutation [6 3 2 5 1 4 0] produces ((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA'])) takes 5.843475103378296 seconds.
Permutation [5 4 6 3 0 1 2] produces ((((lineorderXdate)X(customer𝜎c_region∊['AMERICA']))X(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 3.7366106510162354 seconds.
Permutation [2 3 4 6 1 5 0] produces ((((((lineorderXpart)Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xsupplier)𝜎s_region∊['AMERICA'])X(customer𝜎c_region∊['AMERICA'])) takes 15.520693063735962 seconds.
Permutation [4 6 2 1 0 3 5] produces (((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xsupplier)X(customer𝜎c_region∊['AMERICA']))Xdate)𝜎s_region∊['AMERICA']) takes 4.664767503738403 seconds.
Permutation [2 1 3 4 6 0 5] produces ((((((lineorderXpart)Xsupplier)Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(customer𝜎c_region∊['AMERICA']))𝜎s_region∊['AMERICA']) takes 23.15669298171997 seconds.
Permutation [3 2 0 4 6 1 5] produces (((((((lineorderXdate)Xpart)Xcustomer)𝜎c_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xsupplier)𝜎s_region∊['AMERICA']) takes 21.848798274993896 seconds.
Permutation [4 6 1 5 0 3 2] produces (((((lineorderXsupplier)𝜎s_region∊['AMERICA'])X(customer𝜎c_region∊['AMERICA']))Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 4.435159683227539 seconds.
Permutation [5 0 4 2 6 3 1] produces ((((((lineorderXcustomer)𝜎c_region∊['AMERICA'])Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate)X(supplier𝜎s_region∊['AMERICA'])) takes 5.722191095352173 seconds.
Permutation [1 6 3 0 4 5 2] produces ((((((lineorderXsupplier)Xdate)Xcustomer)𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 19.924733877182007 seconds.
Permutation [6 2 1 5 0 3 4] produces ((((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xsupplier)𝜎s_region∊['AMERICA'])Xcustomer)Xdate)𝜎c_region∊['AMERICA']) takes 5.105659484863281 seconds.
Permutation [2 0 5 6 3 1 4] produces ((((((lineorderXpart)Xcustomer)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA']) takes 16.012730360031128 seconds.
Permutation [4 1 5 3 2 0 6] produces ((((((lineorderXsupplier)𝜎s_region∊['AMERICA'])Xdate)Xpart)X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2']) takes 6.1038806438446045 seconds.
Permutation [5 6 1 2 3 4 0] produces ((((lineorderX(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate)X(customer𝜎c_region∊['AMERICA'])) takes 1.5955677032470703 seconds.
Permutation [3 6 2 1 0 5 4] produces ((((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xsupplier)Xcustomer)𝜎s_region∊['AMERICA'])𝜎c_region∊['AMERICA']) takes 11.935261249542236 seconds.
