permutation;execution_tree;actual_time;actual_mem_peak
[3 5 6 0 1 4 2];(((((lineorderXdate)Xcustomer)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));6.090275049209595;5865530381
[5 1 0 3 2 6 4];((((((lineorderX(supplier𝜎s_region∊['AMERICA']))Xcustomer)Xdate)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA']);2.6178135871887207;1548111660
[0 1 5 4 3 2 6];(((((((lineorderXcustomer)Xsupplier)𝜎s_region∊['AMERICA'])𝜎c_region∊['AMERICA'])Xdate)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);6.628590106964111;4479761021
[1 3 4 5 0 2 6];((((((lineorderXsupplier)Xdate)𝜎s_region∊['AMERICA'])X(customer𝜎c_region∊['AMERICA']))Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);6.559827089309692;5297733504
[3 0 5 6 2 4 1];(((((lineorderXdate)Xcustomer)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']));7.871384143829346;5873612847
[3 5 2 0 4 1 6];((((((lineorderXdate)Xpart)Xcustomer)𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);13.167104005813599;7155382456
[5 4 2 3 1 0 6];(((((lineorderXpart)Xdate)X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);7.150769948959351;5569929141
[1 3 5 4 0 6 2];(((((lineorderXsupplier)Xdate)𝜎s_region∊['AMERICA'])X(customer𝜎c_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));6.4653120040893555;5297732851
[2 4 3 0 6 1 5];((((((lineorderXpart)Xdate)X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xsupplier)𝜎s_region∊['AMERICA']);7.76170015335083;5570017376
[1 5 4 6 0 2 3];(((((lineorderXsupplier)𝜎s_region∊['AMERICA'])X(customer𝜎c_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate);2.628725528717041;3281441684
[3 6 2 0 1 5 4];((((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xcustomer)Xsupplier)𝜎s_region∊['AMERICA'])𝜎c_region∊['AMERICA']);7.41489839553833;4241634512
[5 3 1 2 0 4 6];((((((lineorderXdate)X(supplier𝜎s_region∊['AMERICA']))Xpart)Xcustomer)𝜎c_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);4.167909622192383;4241548018
[4 3 6 1 5 2 0];(((((lineorderXdate)Xsupplier)𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']));6.7012763023376465;5768110309
[2 0 1 3 5 6 4];(((((((lineorderXpart)Xcustomer)Xsupplier)Xdate)𝜎s_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA']);20.562193870544434;7729897581
[1 0 3 6 4 2 5];((((((lineorderXsupplier)Xcustomer)Xdate)𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎s_region∊['AMERICA']);12.213826894760132;6448039748
[5 1 2 4 6 3 0];(((((lineorderX(supplier𝜎s_region∊['AMERICA']))Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate)X(customer𝜎c_region∊['AMERICA']));1.3469908237457275;1295700156
[2 3 0 6 5 4 1];((((((lineorderXpart)Xdate)Xcustomer)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']));13.672794580459595;7155470210
[1 3 0 6 4 2 5];((((((lineorderXsupplier)Xdate)Xcustomer)𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎s_region∊['AMERICA']);12.366084575653076;6881698300
[6 2 4 3 1 0 5];(((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate)Xsupplier)X(customer𝜎c_region∊['AMERICA']))𝜎s_region∊['AMERICA']);4.017233371734619;2822676492
[5 3 0 2 1 4 6];((((((lineorderXdate)Xcustomer)Xpart)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);12.420609712600708;7119852292
[0 4 6 3 5 2 1];(((((lineorderXcustomer)𝜎c_region∊['AMERICA'])Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA']));3.324979305267334;3377460460
[3 1 2 6 0 4 5];(((((((lineorderXdate)Xsupplier)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xcustomer)𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA']);15.504082918167114;6977719298
[6 2 5 0 3 1 4];(((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xcustomer)Xdate)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA']);4.029567241668701;2688118208
[0 6 2 3 5 4 1];(((((lineorderXcustomer)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate)𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']));5.533499240875244;3377460460
[5 4 1 6 2 0 3];((((lineorderX(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']))Xdate);0.7630996704101562;1294212648
